model_file,avg_loss,avg_dice,avg_iou,avg_pixel_acc
99,0.199484578,0.773,0.6436,0.9105
100,0.199931292,0.779,0.6503,0.9127
101,0.159663789,0.8354,0.7236,0.926
102,0.16764299,0.8251,0.7099,0.9243
103,0.164606589,0.8269,0.7123,0.9254
104,0.167973961,0.8323,0.7204,0.9251
105,0.159424125,0.831,0.716,0.9274
106,0.175972755,0.8104,0.6888,0.9212
107,0.17889371,0.8225,0.708,0.9244
108,0.156129693,0.8426,0.7335,0.929
109,0.178343635,0.8029,0.6798,0.9182
110,0.16184989,0.8246,0.7108,0.9249
111,0.15563099,0.8388,0.7273,0.9288
112,0.166273811,0.8242,0.7092,0.9252
113,0.156880119,0.8423,0.7311,0.9288
114,0.157191204,0.8419,0.7323,0.9286
115,0.157936499,0.8378,0.7259,0.9273
116,0.179952702,0.817,0.697,0.9178
117,0.16112826,0.8353,0.7232,0.9257
118,0.167322176,0.8469,0.7392,0.9285
119,0.189079092,0.7901,0.6656,0.9158
120,0.171266356,0.8153,0.6962,0.9231
121,0.16285896,0.8282,0.7141,0.9243
122,0.160783999,0.8321,0.7181,0.9277
123,0.182215,0.8159,0.6957,0.9211
124,0.171214341,0.825,0.7093,0.9233
125,0.166146894,0.8233,0.7084,0.9248
126,0.159858402,0.83,0.7175,0.9277
127,0.16182669,0.839,0.7273,0.9256
128,0.154249703,0.834,0.7227,0.9287
129,0.154260586,0.8372,0.7265,0.9292
130,0.165179649,0.8289,0.7148,0.9264
131,0.154723094,0.8436,0.7361,0.9283
132,0.194880527,0.7974,0.6746,0.9147
133,0.164724359,0.8252,0.7103,0.9243
134,0.152740308,0.8381,0.7281,0.9298
135,0.163560317,0.8235,0.7072,0.9246
136,0.149164473,0.8514,0.7459,0.9309
137,0.169143674,0.8109,0.6909,0.9228
138,0.16602528,0.8161,0.7008,0.9216
139,0.154222078,0.8403,0.7285,0.9279
140,0.171405244,0.8203,0.7022,0.9224
141,0.159905029,0.8333,0.7216,0.9256
142,0.167304631,0.8313,0.7183,0.9252
143,0.161119643,0.8253,0.7134,0.9273
144,0.15079577,0.8364,0.726,0.9293
145,0.151981199,0.8464,0.7393,0.9301
146,0.161975707,0.8252,0.7104,0.925
147,0.163643517,0.8171,0.6982,0.9229
148,0.171649288,0.8245,0.7076,0.924
